ID,In your current role do you carry out primary research?,Have you published a manuscript in the past 3 years?,Which of the following job family best applies to you?,Area of interest,"Please briefly describe your area of speciality within your field.
","Familiarity with Reproducibility?
","What does reproducibility mean to you?
","Familiarity with Open Science?
","What does Open Science mean to you
",Proportion of published results,How does your field stack up?,"How often do you think about reproducibility of your research?
","How often do you speak to your colleagues about reproducibility?
","How often do you question the reproducibility of other scientists' work?
","Your knowledge..
",Established procedure for reproducibility,Timelines,"Established procedure for reproducibility
",Quality of research changed,Impact on lab,Effects caused by change,"Funder & Institutional effort
","Funder & Institutional effort
2","Publisher effort
","Publisher effort
2",         Professional   incentives (e.g. funding or publications) for formally reproducing the work   of others       ,         Professional   incentives (e.g. funding or credit towards tenure) for adopting practices   that enhance reproducibility       ,         Better   teaching of science students       ,"         Better   mentoring/supervision of students, postdocs and other trainees in the lab       ",         Better   understanding of statistics       ,         More   robust experimental design       ,         More   emphasis on independent validation within the lab       ,         More   emphasis on independent replication via outside labs       ,         Journal   editors enforcing standards to enhance reproducibility (e.g. through   checklists)       ,         More   time to teach and mentor students and other workers in the lab       ,         More   time checking lab notebooks and raw data       ,"Would you like, Could you benefit from or do you want help in developing a strong foundation for running your own reproducible, open-source analyses?
","Guess what %age of respondents to a recent survey in Nature agreed that there is a ‘reproducibility crisis'
"
37,Yes,"No, but I have some in draft at this time",Education & Research Staff,Disease Ecology and Evolution,I work primarily on Bayesian survival analysis looking at various impacts on lifetime mortality trajectories... Currently focusing on inbreeding in badgers and salmon abundance in Killer Whales. ,Very familiar,Someone could take my paper and completely repeat my analysis to check my results. ,Somewhat familiar,"Papers being accessible, and methodology, code etc being open to scrutiny. ",8,"... about the same as for other scientific fields on average""",Daily,Monthly,Monthly,Yes,No,,,,,,Yes,,Yes,Code and data being made available. ,Likely,Likely,Likely,Likely,Very Likely,Likely,Not very likely,Not very likely,Likely,Not very likely,Not very likely,Maybe,10-20%
38,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Ecosystems,"Spatial modelling, population modelling, conservation decision-making. ",Very familiar,"From a data analysis perspective, research is reproducible if someone else could rerun the analysis using the same data following documented methods and obtain the same result.",Very familiar,"All the elements required to reproduce an experiemnt/analysis (methods, data, software etc.) are freely and easily available to anyone.",2,"... about the same as for other scientific fields on average""",Daily,Monthly,Weekly,Yes,Yes,Within the last 5 years,"I have a consistent structure for managing computation projects, use version control through GitHub, and make code open access via GitHub on publication (or before). I archive any data produced during analysis in publically accessable sites or link to existing data. ","Yes, the quality of my research has improved",These changes have not affected my lab,"When I've worked closely with students they have adopted reproducible coding methods, but otherwise I'm not sure whether this has had broader impacts. ",Yes,The infrastructure for data and software archiving is generally improving and making it easier to manage project reproducibility.,Yes,"Largely positive, althought there are some issues around data accessibility were proprietory data has been used that are not easy to resolve.",Very Likely,Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Yes,30
39,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Behavioural Ecology, evolutionary behavioural ecology of social interactions ,Fairly familiar,When a study can be replicated based on the information and data contained in a paper ,Fairly familiar,"When all the information on the scientific process is shared and accessible for free to everyone, including tools, codes, data, etc. to replicate a study. ",4,I am unsure.,Monthly,Monthly,Monthly,Maybe,Yes,Within the last 2 years,"Keep queries codes for extracting data from the database
Use github for data cleaning, exploring, and data analyses
Annotate metadata","Yes, the quality of my research has improved",These changes have had a positive impact on my lab,"+ We can easily exchange parts of code when working on similar analyses between lab members
+It's easier to implement changes and re run the analyses automatically 
- It is more complicated when not all lab members use the same pipelines/tools 
- considerable time investment",No,"Funders and institutions ask for open access. In my case, they do provide funding e.g. for open access publishing so they did help. ",No,"In my experience, they require reproducibility but still they do not provide detailed guidelines. I think it's ok if you know how to do it without guidance, but if you don't then that does not really ensure reproducibility. It's also anyways a larger issue with the field in general not having standardized guidelines.
Furthermore, I have experienced conflict over publishing of sensitive data owned by a private company that we used in our study.  The publisher would not accept exceptions to open access (e.g. us providing a simulated dataset instead of the real data, along with all the code). I think exceptions need to be considered (e.g. human data, other sensitive data e.g. with intellectual properties etc), while still keeping to high standard of reproducibility ",Not very likely,Likely,Not very likely,Likely,Not very likely,Likely,Likely,Not very likely,Likely,Likely,Not very likely,Maybe,50-80%
40,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Behavioural and Evolutionary Ecology,"Evolution of sociality, cooperation and conflict, cognition, and sex ratios. Much of my research involves testing the effect of environmental, social and genetic factors on the expression and evolution of behavioural and cognitive traits.",Fairly familiar,"I think I always put reproducibility in to the context of publishing research papers. That is, sharing clear and detailed information (e.g., methods, code and data) on how you conducted your research in a way that allows others to reproduce your work and test your results.",Fairly familiar,"I think OpenScience is really linked to that idea of openly sharing your research at all stages of the process not just the final results output (e.g., planning and data management/analysis) to enhance research integrity and reproducibility, and professional/public confidence in scientific outputs.",4,I am unsure.,Weekly,Monthly,Weekly,Maybe,"No, but would like to",,,,,,No,,Yes,Journals insisting that data and code are shared with publication.,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Likely,Likely,Likely,Very Likely,Not very likely,Yes,10-20%
41,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Engineering,"I employ state-of-the-art Computational Chemistry methods (DFT/MD) along with Experiments in the area of Catalysis. Through DFT/MD modellings, I am aiming to engineer the atomic and electronic properties of Catalysts for delivering Water Splitting Reaction with high efficiency, selectivity, and stability, to Produce H2 as a Green Energy Fuel.",Somewhat familiar,The published work should be repeatable and can be reproduced anywhere  ,Somewhat familiar,"The published work should be available free of charge to readers, around the world",7,"... about the same as for other scientific fields on average""",Daily,Weekly,Yearly,Yes,"No, but would like to",,,,,,No,,No,,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Yes,90-100%
42,Yes,Yes,"Research Student (PhD, M by Res, MPhil etc.)",Microbial Evolutionary Ecology,I work with natural transformation and competence in acinetobacter baylyi. I’m most interested in finding previously unknown stimuli which affect competence. ,Very familiar,The ability to read a paper and get the same results (or close enough) as the paper when you carry out the same methodology in your own lab. ,Not very familiar,I assume it means that published literature should be accessible for free for all. ,8,"... about the same as for other scientific fields on average""",Monthly,Yearly,Monthly,Yes,"No, but would like to",,,,,,No,I’ve not explored this myself. ,No,None,Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Likely,Not at all likely,Likely,Likely,Not very likely,Maybe,50-80%
43,Yes,"No, but I have some in draft at this time","Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Earth and Environmental Science,"Microclimate and plant pests
Mapping ecosystem services / biodiversity - applied tools to inform policy/strategy
Mapping historic habitats / long term landcover change from historic maps and remote sensing",Fairly familiar,Provision of information and use of methods and data that enable studies to be fully repeatable by colleagues,Somewhat familiar,"Data, methods, publications are all readily accessible to other researchers and broader public. Methods & results communicated in a way that is informative to the widest possible audience and open about assumptions/limitations concerning the application of results and knowledge.",5,"... worse than for other scientific fields on average.""",Monthly,Never,Monthly,Maybe,"No, but would like to",,,,,,Yes,Some financial support for open access publications - very little in terms of recognizing the time required to ensure full reproducibility,Yes,Simple checkbox lists,Likely,Likely,Likely,Likely,Not very likely,Not very likely,I don't know,Likely,Not very likely,Likely,I don't know,Yes,50-80%
44,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Ecosystems,Nighttime ecology. The relationship between nature and human health,Fairly familiar,The ability of a different research team to accurately repeat the methodology of the experiment,Fairly familiar,"Transparency in all stages of scientific research, from methodology through to the peer-review process",6,"... about the same as for other scientific fields on average""",Weekly,Monthly,Monthly,Maybe,No,,,,,,Yes,"Funders insist on publishing open access cc by 4.0.
No real pressure from University",Yes,Most pressure comes from the journals such as nature comms. I have just spent hours annotating R code and sample data to submit with a manuscript.,Not very likely,Not very likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Maybe,50-80%
45,Yes,"No, but I have some in draft at this time","Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Behavioural Ecology,behavioural ecology and human-wildlife conflict. How human disturbance influences animal behaviour to mitigate HWC,Fairly familiar,research that can be conducted either using the same method or same data by another group/researcher,Fairly familiar,Research that is readily accessible to others by providing access to code and data making it easy for others to see what has been done ,5,I am unsure.,Monthly,Monthly,Monthly,No,"No, but would like to",,,,,,Yes,,No,,Not very likely,Likely,Very Likely,Very Likely,Likely,Likely,Likely,Likely,Likely,Very Likely,Very Likely,Yes,50-80%
46,Yes,No,"Research Student (PhD, M by Res, MPhil etc.)",Behavioural Ecology,Human behavioural ecology - life histories,Fairly familiar,"Producing consistent results across studies addressing the same research question, where research team, data and method may vary",Fairly familiar,"A push to make research more transparent and accessible, where the research process/decisions are transparent and methods, data and results are freely available, to other researchers and the general public",6,"... about the same as for other scientific fields on average""",Weekly,Daily,Monthly,Maybe,Yes,Within the last 2 years,"Preresigter predictions and analysis plan using Open Science Framework, write up analysis and papers in R markdown, and store data in GitHub","Yes, the quality of my research has improved",These changes have not affected my lab,"Get a lot of sceptical questions about why I support preregistration. Also, supervisors who don't work in that way tend to not factor in time to feedback on analysis early in the process so I felt less supported at that stage.",No,,Yes,Requirements to make data available,Very Likely,Very Likely,Likely,Likely,Likely,Likely,Likely,Likely,Very Likely,Likely,Not very likely,Yes,90-100%
47,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Microbial Evolutionary Ecology,how evolution and ecology influence the interactions between bacterial defence systems and mobile genetic elements,Fairly familiar,making sure other researchers can replicate published results,Fairly familiar,results and methods that are freely available for other researchers ,8,"... about the same as for other scientific fields on average""",Weekly,Monthly,Monthly,No,"No, but would like to",,,,,,No,,No,,Likely,Very Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Yes,50-80%
48,Yes,Yes,"Impact fellow (working with external partners, not really primary research but I do some as a sideline)",Ecosystems,"I work on applied solutions to conservation problems in terrestrial ecosystems, with a particular focus on translating scientific results for land managers.",Somewhat familiar,"Someone being able to repeat your work, including the data collection methods and analysis",Somewhat familiar,"Making the results of scientific research available to everyone, not just those within the academic world. Open science should include publishing of non-significant results. I think open science should incorporate reproducibility so that people could re-analyse data or repeat experiments if they wanted to. I think it should include making raw data accessible as well, and making it possible to find.",2,I am unsure.,Yearly,Yearly,Yearly,No,No,,,,,,No,Funders have definitely made efforts to make raw data accessible to other people,Yes,"This may not apply as reproducibility, but publishers are making more efforts to ensure that raw data are available, and do state that analyses should be understandable, so people should be able to recreate an analysis from the raw data and details in the paper. Some papers have published code for their analysis (but I think this was author choice rather than journal enforcement).",Very Likely,Very Likely,Very Likely,Very Likely,Likely,Not very likely,Very Likely,Likely,Very Likely,Very Likely,Very Likely,Yes,90-100%
49,Yes,Yes,Education & Research Staff,Evolutionary ecology,"Evolutionary ecology: life history evolution, parental effects, host-pathogen interactions, health & disease",Very familiar,,Very familiar,,6,"... about the same as for other scientific fields on average""",Weekly,Monthly,Weekly,Yes,"No, but would like to",,,,,,No,,Yes,,Very Likely,Very Likely,Likely,Likely,Very Likely,Very Likely,Likely,Very Likely,Likely,Likely,Not very likely,Maybe,90-100%
50,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Ecosystems,Conservation Social Science - People-Nature Interactions.,Very familiar,"Doing research in a way where somebody else could replicate what you have done, and (if using the same data), arrive at the same results.",Very familiar,"Doing science in a reproducible way, including providing access to your data, code, etc.",5,"... about the same as for other scientific fields on average""",Weekly,Monthly,Monthly,Yes,Yes,Within the last 5 years,"Making data associated with research publications Open Access.
More thoroughly describing rationale for decisions in research process for future reference + others.
More recently, providing all code underpinning figures and analyses, and writing analysis plans.","Yes, the quality of my research has improved",These changes have not affected my lab,"Probably minor improvements in quality of research, though at the expense of time.",Yes,"Requirements of UKRI to produce research Gold Open Access, to provide a data access statement, underlying data, etc.",Yes,"Checklists, encouraging the publication of data and code.",Very Likely,Very Likely,Likely,Likely,Likely,Very Likely,Very Likely,Very Likely,Likely,Likely,Likely,Yes,50-80%
51,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Insect Evolutionary Ecology,"I'm currently working on how insects manage antimicrobial emergence in the bacterial communities they are in contact with (could apply to microbial evolutionary ecology as well). 
I'm more broadly interest in population genetics, genetic diversity, and predicting the outcome of selection when multiple factors impact the fitness of a population simultaneously.",Fairly familiar,The ability for someone else to read your work and reproduce exactly what you have done. ,Fairly familiar,"Making science accessible to others. Not behind pay-walls or to the chosen few in some universities, but where anyone can access the data and see what has been done. ",3,I am unsure.,Weekly,Never,Daily,Maybe,No,,,,,,Yes,Not sure if they help. Seems more like a buzz word that is used by funders rather than there being any active or consolidated way for reproducibility to happen.,Yes,Publishers require code and supplementary sections which can help with reproducibility. However the high costs make it seem like journals are taking advantage of scientists wish to open up the availability of their science by charging or open publication (even if normal publication is free). ,Likely,Very Likely,I don't know,Very Likely,Very Likely,Very Likely,Very Likely,Likely,Not at all likely,Very Likely,I don't know,Yes,50-80%
52,Yes,Yes,"Research Student (PhD, M by Res, MPhil etc.)",Evolutionary Anthropology,"Evolution of cooperation, evolutionary demography, cultural evolution",Very familiar,The ability to generate the same results using the same data and analysis as reported,Very familiar,"The movement to make the products of research openly and freely accessible without any barriers (eg money, institutional licence, social capital)",4,"... better than for other scientific fields on average.""",Weekly,Weekly,Daily,Yes,Yes,Within the last year,"- All studies pre-registered on the OSF
- Cleaned data and well-documented code uploaded to OSF/Github with public access
- Testing my code on colleagues' computers before submission
- Commitment to publish only in open access journals","Yes, the quality of my research has improved",These changes have had a positive impact on my lab,"Positive:
- Sense of increased trust between colleagues based on commitment to and competency with reproducible methods
- Pride in being part of a research group that cares about scientific rigour and robustness
- Optimism that research efforts are more future-proof and will increase reach and impact of our work

Negative:
- Study planning takes longer (although this is only a negative if you're used to rushing analysis then retrospectively describing ""what was done"")",Yes,"- Supervisors committed to reproducibility
- Mixed responses to reproducibility within department (partly due to genuine concerns e.g. how to pre-register analysis of secondary data, partly due to established researchers with incentive to ""play the game"")",No,"Can't comment, only published one paper for a project before my PhD",Very Likely,Very Likely,Very Likely,Very Likely,Likely,Likely,Likely,Likely,Very Likely,Likely,Very Likely,Yes,50-80%
53,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Behavioural Ecology,Interested in drivers of animal movement and migration,Fairly familiar,Work that can be carried out be others and the results be recreated exactly,Fairly familiar,The whole process from initial planning of the idea all the way to the code and data to produce the results are openly available for all to access. ,5,"... about the same as for other scientific fields on average""",Weekly,Monthly,Monthly,Yes,Yes,Within the last year,"I now archive all my code and data that can be on github or figshare. Not all of my data can be shared though, i.e. tracking data from animals. ","Yes, the quality of my research has improved",These changes have not affected my lab,My lab has not done the same. It is just my work that i have started to make available on github. ,No,,No,I have not encountered much effort by publishers. They seem to want you to say that you will archive the code/data and where you will archive but they do not seem to really follow this up or check that you have done it properly. ,Likely,Very Likely,Likely,Likely,Not very likely,Not very likely,I don't know,Likely,Very Likely,Likely,I don't know,Yes,50-80%
54,Yes,"No, but I have some in draft at this time","Research Student (PhD, M by Res, MPhil etc.)",Microbial Evolutionary Ecology,I am interested in the link between the gut microbiome and social networks and the potneial role of the microbiome in pathogen prevalance. ,Fairly familiar,Producing work that can easily be replicated and repeated by fellow scientists to confirm it's plausibility. ,Fairly familiar,Not having to pay to access journals and articles.,5,I am unsure.,Monthly,Monthly,Yearly,Maybe,"No, but would like to",,,,,,No,,Not Applicable,,Likely,Likely,Not very likely,Likely,Likely,Not very likely,Not very likely,Not very likely,Likely,Likely,Likely,Maybe,50-80%
55,Yes,No,"Research Student (PhD, M by Res, MPhil etc.)",Insect Evolutionary Ecology,plant-pollinator interactions and insect migration.,Very familiar,different researchers being able to draw the same conclusions from methodically collected data.,Fairly familiar,free access to scientific research.,7,"... about the same as for other scientific fields on average""",Daily,Monthly,Daily,Yes,Yes,Within the last year,following established methods,"Yes, the quality of my research has improved",These changes have not affected my lab,,No,,No,,Very Likely,Very Likely,Very Likely,Likely,Likely,Likely,Likely,Likely,Very Likely,Very Likely,Very Likely,Yes,50-80%
56,Yes,Yes,"Research Student (PhD, M by Res, MPhil etc.)",Marine Ecology,"Marine ecology and conservation, with interest in species-based approach using charismatic species (sea turtles) as well as ecosystem-based approach.",Fairly familiar,"Enabling readers of published work (grey and peer-reviewed literature) to recreate results and apply the methods to similar datasets, in order to check validity of data and avoid people having to ""re-invent the wheel"".",Fairly familiar,"Releasing the full methodology (in-depth description of data collection and analysis protocols), data, and the final publication under open-access licensing, thereby making it available to anyone.",3,I am unsure.,Weekly,Weekly,Weekly,Maybe,"No, but would like to",,,,,,Yes,"Open science and reproducibility workshops organised at UoE in 2019 (?) by JJ Valeta, David March, Chris Yeoman, et al.",No,,I don't know,Likely,Very Likely,Very Likely,Very Likely,Likely,Very Likely,Very Likely,Very Likely,Very Likely,Not very likely,Yes,50-80%
57,Yes,Yes,Education & Research Staff,Disease Ecology and Evolution,Host-pathogen interactions and pathogen host shifts,Fairly familiar,"Open science: freely available papers, with suitable methods/protocols and associated data and code accessible for others to examine, reuse and reproduce.",Fairly familiar,"Open science: freely available (OA) papers, ideally published under diamond OA, with associated data and code accessible as above",6,"... better than for other scientific fields on average.""",Weekly,Weekly,Weekly,Maybe,Yes,The procedures have been in place since I started working in my lab,"Clear methods, data and code placed on repositories","No, the quality of my research has not improved",These changes have had a positive impact on my lab,"Overall, its clealry a good thing to have code and data available, but it is sometimes a significant amount of work that others avoid without any cost (data available on request!)",No,"Funders (Wellcome and Royal Soc) have strong efforts in place to improve accessibility of research (OA pubs), and have inititiaves in place to recognise reproducible research and non-paper based contributions (eg data/software) but these could go further. ",Yes,Clearly massive increase in my relatively short career to improve sharing of data and code - less on research methods but some exisit (eg https://pubmed.ncbi.nlm.nih.gov/19246619/) ,Very Likely,Very Likely,Not very likely,Likely,Likely,Very Likely,Likely,Very Likely,Very Likely,Likely,Not very likely,Yes,10-20%
58,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Ecology,"Applied Ecology, Foraging Ecology, Seabirds, Waterbirds, Bird population dynamics, Conservation, Stable Isotopes Ecology, Light Pollution, Plastic Contamination",Very familiar,"Experiments, or other types of research should be able to be reproduced by others from the information given in a paper along with supplementary materials. Code used in the analysis should be made available for anyone else to run, along with the associated data. Details of equipment and reagents etc should also be fully available",Very familiar,Science (including papers) should be free to access to everyone. ,5,"... about the same as for other scientific fields on average""",Monthly,Monthly,Monthly,Maybe,No,,,,,,No,,Yes,Asking for code and data sets,Likely,Likely,Very Likely,Likely,Likely,Likely,I don't know,I don't know,Very Likely,Likely,I don't know,No,50-80%
59,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Domestic indoor environment,"Primarily my expertise is in computer/data science, with my current project (Smartline) involving sensor data analysis, applied to mould, indoor air quality, energy usage, health data. ",Very familiar,"Describing a method so that it can be reproduced exactly. Making data available to others when possible, and code. Obtaining the same conclusions from a repeated experiment or analysis. ",Fairly familiar,"Transparency in methods and data availability, open access publications, dissemination to multiple types of audience. ",8,"... about the same as for other scientific fields on average""",Monthly,Yearly,Yearly,Yes,No,,,,,,Yes,"UoE Research Software Engineers, although I have not collaborated with them directly. ",Yes,Peer review asking for more detail on method or equipment. Encouraged sharing of data. ,Likely,Likely,Very Likely,Very Likely,Very Likely,Very Likely,Likely,Very Likely,Likely,Very Likely,Very Likely,No,10-20%
60,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Insect Evolutionary Ecology,Evolution of detoxification enzymes in insects from the order Hymenoptera.,Somewhat familiar,"Using clear methodologies so that your research could be reproduced again either by your own lab group, or at a different organisation or by a different researcher.",Somewhat familiar,Work that is freely available and accessible to all.,7,"... about the same as for other scientific fields on average""",Weekly,Monthly,Monthly,Maybe,"No, but would like to",,,,,,No,,No,,Not very likely,Very Likely,Likely,Likely,Likely,Very Likely,Likely,Not very likely,Likely,Likely,Likely,Maybe,50-80%
61,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Yes,Yes,"Research Student (PhD, M by Res, MPhil etc.)",Climate Ecology & Conservation Science,Modelling microclimate and body temperature of organisms under different environmental conditions,Fairly familiar,The ability for others to repeat your methods and obtain similar results,Somewhat familiar,"Ensuring that your data, methodology, results and publications are readily accessible to others (ideally without them having to ask for it)",7,I am unsure.,Monthly,Never,Yearly,No,No,,,,,,No,,No,,Very Likely,Very Likely,Not very likely,Likely,Not very likely,Likely,Not very likely,Likely,Very Likely,Not very likely,Not very likely,Yes,50-80%
63,Yes,Yes,Education & Research Staff,Behavioural Ecology,"Avian cognition, human-wildlife conflict",Fairly familiar,"Sufficient information is provided in the manuscript, including publication of data and statistical code, for anyone else to reproduce the findings.",Fairly familiar,"Anyone in the world can access information about the experimental protocol, data, findings and manuscript.",4,"... worse than for other scientific fields on average.""",Weekly,Monthly,Monthly,No,"No, but would like to",,,,,,Yes,I know that ERCs have organised workshops on the topic.,No,"Royal Society journals request that data gets uploaded, otherwise no efforts have been made.",I don't know,I don't know,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Maybe,50-80%
64,Yes,No,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Insect Evolutionary Ecology,,Somewhat familiar,,Somewhat familiar,,,"... about the same as for other scientific fields on average""",Daily,Weekly,Weekly,No,"No, but would like to",,,,,,No,,Yes,,Likely,Very Likely,Very Likely,Likely,Very Likely,Very Likely,Likely,I don't know,Likely,Not very likely,Not very likely,Maybe,50-80%
65,Yes,Yes,"Research Student (PhD, M by Res, MPhil etc.)",Behavioural Ecology,Cephalopod anti-predator behaviour,Fairly familiar,Results are not reliant on the method by which they were obtained and can be reproduced using different methodologies.,Fairly familiar,Making publications and data easily accessible.,7,I am unsure.,Monthly,Monthly,Weekly,Maybe,Not Applicable,,,,,,Yes,,Yes,,Likely,Likely,Not very likely,Likely,Likely,Likely,Not very likely,Very Likely,Likely,Not very likely,Not very likely,Maybe,10-20%
66,Yes,No,"Research Student (PhD, M by Res, MPhil etc.)",Disease Ecology and Evolution,the role of invasive species in propagating zoonotic diseases ,Somewhat familiar,"sharing code, transparent and detailed methods, pre-registering, sharing data",Somewhat familiar,"transparency in analysis approaches, admitting biases. This can be helped by pre-registering. ",3,"... about the same as for other scientific fields on average""",Monthly,Monthly,Daily,No,"No, but would like to",,,,,,Yes,This has been discussed in statistics modules... though not necessarily a primary focus ,Not Applicable,na,Likely,Likely,Likely,Likely,Not very likely,I don't know,I don't know,I don't know,Likely,I don't know,Not very likely,Maybe,50-80%
67,Yes,"No, but I have some in draft at this time","Research Student (PhD, M by Res, MPhil etc.)",Microbial Evolutionary Ecology,I study how the restriction modification systems of bacteria influence their ability to uptake mobile genetic elements,Fairly familiar,"All data used for a project, as well as detailed data collection and data analysis methods/code, should be freely available to anyone (and not ""by request""). ",Somewhat familiar,"Freely available methods/data/code as above, but also publishing in open access journals wherever possible, using free open source software/packages wherever possible. ",3,I am unsure.,Weekly,Weekly,Monthly,Maybe,Not Applicable,,,,,,Yes,My DTP gave a minimal talk on ensuring our research is reproducible.,Not Applicable,,Likely,Very Likely,Likely,Likely,Very Likely,Likely,Likely,Likely,Very Likely,Likely,Not very likely,Yes,50-80%
68,Yes,Yes,Education & Research Staff,Biodiversity ,"Generation and maintenance of biodiversity, and tools to describe it",Very familiar,That someone else can take the same data and methods and reproduce the same results achieved by the author.,Very familiar,Free and open access to scientific research for everyone everywhere,3,"... worse than for other scientific fields on average.""",Weekly,Monthly,Weekly,Maybe,Yes,Within the last 5 years,"Where possible, providing raw results and scripts, and very clear descriptions of what was done. Lots of error checking to make sure we are confident of our results.","Yes, the quality of my research has improved",These changes have had a positive impact on my lab,Sometimes feels like nagging to get lab members to get include finer details. Many labs providing little such onfirmation,Yes,"Bbsrc, require data depositing in relevant archives",Yes,Requirements for Scripts/trees/data to be deposited. Scrutiny of detail in methods.,Very Likely,Very Likely,Likely,Likely,Likely,Likely,Likely,Likely,Very Likely,Likely,Very Likely,Maybe,90-100%
69,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Microbial Evolutionary Ecology,Community stability,Fairly familiar,"Being able to repeat someone's experiement, data collection, or analysis ",Fairly familiar,"Freely available publications, with easy access to the raw data and code to analyse it",4,"... better than for other scientific fields on average.""",Weekly,Monthly,Weekly,Maybe,"No, but would like to",,,,,,No,,Yes,data and code must be available,Very Likely,Very Likely,Not very likely,Likely,Not very likely,Not very likely,Not very likely,Not very likely,Very Likely,Likely,Not very likely,Yes,50-80%
70,Yes,Yes,Education & Research Staff,Marine Ecology,Marine ecologist working on feeding behaviour and diving physiology of marine vertebrates,Fairly familiar,The ability to conduct the same study and get the same results,Very familiar,Make results and code/analysis available to everyone,6,"... about the same as for other scientific fields on average""",Weekly,Monthly,Monthly,Maybe,"No, but would like to",,,,,,Yes,The data has to be made publically available,Yes,Publish data and code,Not very likely,Likely,Likely,Likely,Likely,Not very likely,Likely,Likely,Likely,Likely,Likely,Yes,10-20%
71,Yes,Yes,Education & Research Staff,Insect Evolutionary Ecology,"Local adaptation, ageing, sexual selection, behavioural thermoregulation",Very familiar,"That if you, or someone else did the study again they would get the same results.",Very familiar,Science that has as few barriers to participation as possible.,8,"... worse than for other scientific fields on average.""",Daily,Monthly,Weekly,Yes,"No, but would like to",,,,,,No,Requirement to deposit data in a public repository.  It is not very effective as it takes ages and the data still won't really be useful to anyone else in the case of my own data.,Yes,I think requiring data to be deposited is important and helps.,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Likely,Very Likely,Likely,Very Likely,Likely,Maybe,50-80%
72,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Behavioural Ecology,Movement ecology,Somewhat familiar,That others can reproduce the study,Very familiar,"That others have access to published papers, but also that it puts more costs on authors.",7,"... about the same as for other scientific fields on average""",Yearly,Yearly,Yearly,Yes,No,,,,,,No,,Yes,Efforts to make authors share raw data helps,Very Likely,Very Likely,Likely,Likely,Very Likely,Likely,I don't know,I don't know,Likely,I don't know,Likely,No,10-20%
73,Yes,"No, but I have some in draft at this time","Research Student (PhD, M by Res, MPhil etc.)",Behavioural Ecology,Animal behaviour evolution in the context of anthropogenic selection pressures.,Fairly familiar,"Providing detailed methodologies in conjunction with data and code in full, enabling others to dissect how results presented in publications were obtained and conduct further study based on simulation or alteration.",Fairly familiar,"Access to all primary scientific literature free from institutional, financial or professional boundaries.",3,"... worse than for other scientific fields on average.""",Monthly,Yearly,Yearly,Yes,No,,,,,,No,,No,,Very Likely,Very Likely,Likely,Likely,Very Likely,Very Likely,Not very likely,Likely,Very Likely,Very Likely,Not very likely,Maybe,50-80%
74,Yes,Yes,Education & Research Staff,Evolutionary ecology,Evolutionary quantitative genetics as applied to wild vertebrate populations.,Very familiar,"This is too vague/broad of a question, but it obviously is important. ",Very familiar,See above,6,"... about the same as for other scientific fields on average""",Weekly,Weekly,Weekly,Maybe,Yes,Within the last 5 years,"File and database servers, github, all data manipulation and analysis in R, publish data and code. Preregister some studies.","Yes, the quality of my research has improved",These changes have had a positive impact on my lab,"Negative: Better organisation
Positive: Time consuming. Note that all suggestions to improve reproducibility in Q28cost more time. ",No,"Data management plan, requirement to publish open access, deposit data.",Yes,"Open science badges, requirement to publish data and code",Likely,Likely,Very Likely,Likely,Very Likely,Very Likely,Likely,Likely,Not very likely,Likely,Likely,Maybe,50-80%
